"ENSEMBL","ENTREZID","SYMBOL"
"ENSRNOG00000007461","117537","Klhl41"
"ENSRNOG00000017628","25123","Tagln"
"ENSRNOG00000045997","691394","Chst14"
"ENSRNOG00000003150","100359982","Mpc2"
"ENSRNOG00000003622","66021","Cybb"
"ENSRNOG00000013828","293615","Sirt3"
"ENSRNOG00000060879","100910996","LOC100910996"
"ENSRNOG00000010296","83509","Slc7a7"
"ENSRNOG00000010311","364475","Dzip1"
"ENSRNOG00000045829","445442","Thbs1"
"ENSRNOG00000009514","24590","Mme"
"ENSRNOG00000058039","81633","Acta2"
"ENSRNOG00000003597","316531","Tuba4a"
"ENSRNOG00000007764","252858","Frmd4b"
"ENSRNOG00000042897","100912521","Nmrk2"
"ENSRNOG00000036971","296207","Smim26"
"ENSRNOG00000008937","29276","Csrp1"
"ENSRNOG00000010832","290771","Pdgfrl"
"ENSRNOG00000016366","361289","Colec12"
"ENSRNOG00000008340","363074","C8h15orf61"
"ENSRNOG00000010708","54254","Gata4"
"ENSRNOG00000004067","497815","Nrcam"
"ENSRNOG00000012779","498638","Msr1"
"ENSRNOG00000009848","29197","Il18"
"ENSRNOG00000050430","25156","Vav1"
"ENSRNOG00000036684","89841","Pcyt2"
"ENSRNOG00000025571","681145","Il19"
"ENSRNOG00000019914","293493","Tlcd3b"
"ENSRNOG00000015357","300455","Bmper"
"ENSRNOG00000010897","360161","Nek6"
"ENSRNOG00000003553","305604","Efemp1"
"ENSRNOG00000016103","308068","Nkd2"
"ENSRNOG00000010266","294706","Cd180"
"ENSRNOG00000006968","297372","Mrpl19"
"ENSRNOG00000007326","298771","Prepl"
"ENSRNOG00000003596","317258","Itgb1bp2"
"ENSRNOG00000012208","25713","Itgb7"
"ENSRNOG00000009471","498547","Epsti1"
"ENSRNOG00000011032","294643","Lhfpl2"
"ENSRNOG00000010905","25431","Dlx5"
"ENSRNOG00000007027","24446","Hgf"
"ENSRNOG00000013000","24534","Ldhb"
"ENSRNOG00000031890","24586","Ncam1"
"ENSRNOG00000049918","367455","Lrg1"
"ENSRNOG00000013387","309139","Tpcn2"
"ENSRNOG00000018290","365900","Alx3"
"ENSRNOG00000015430","117096","Nlgn2"
"ENSRNOG00000015232","309419","Pip5k1b"
"ENSRNOG00000018390","361527","Pld3"
"ENSRNOG00000031598","311396","Atp8b4"
"ENSRNOG00000014683","171106","Il1rl2"
"ENSRNOG00000001979","266766","Rcan1"
"ENSRNOG00000005369","50599","Kcnj3"
"ENSRNOG00000014124","291912","Nod2"
"ENSRNOG00000000560","499430","Lrrc20"
"ENSRNOG00000007206","361016","Cfap20dc"
"ENSRNOG00000000502","309642","Def6"
"ENSRNOG00000005034","314904","Arhgef25"
"ENSRNOG00000027230","100360334","Fhod3"
"ENSRNOG00000024870","314721","Anks1b"
"ENSRNOG00000033694","690820","Klf16"
"ENSRNOG00000016275","24856","Ttr"
"ENSRNOG00000005825","25211","Lyz2"
"ENSRNOG00000002922","29316","Adora2b"
"ENSRNOG00000019728","25021","Itgam"
"ENSRNOG00000033059","100361647","Galnt6"
"ENSRNOG00000050647","24472","Hspa1a"
"ENSRNOG00000001813","114114","Dnm1l"
"ENSRNOG00000025705","367903","Armcx2"
"ENSRNOG00000049484","84011","Atp9a"
"ENSRNOG00000027791","29507","Cox7a2"
"ENSRNOG00000027791","688386","Cox7a2l2"
"ENSRNOG00000028137","291234","Mki67"
"ENSRNOG00000013190","292306","Rnaset2"
"ENSRNOG00000001082","63886","Abcb9"
"ENSRNOG00000036829","315348","Nckap1l"
"ENSRNOG00000016983","29557","Myh7"
"ENSRNOG00000004645","83627","Galnt5"
"ENSRNOG00000019859","361401","Pla2g15"
"ENSRNOG00000007805","296344","Mybl2"
"ENSRNOG00000018536","361042","Pck2"
"ENSRNOG00000046261","25732","Acp5"
"ENSRNOG00000019211","310743","Olfml3"
"ENSRNOG00000008313","303488","Hoxb3"
"ENSRNOG00000046252","686610","Tbl2"
"ENSRNOG00000013017","25243","Arnt2"
"ENSRNOG00000039048","64357","Cd200r1"
"ENSRNOG00000017716","25708","Ucp3"
"ENSRNOG00000017539","81687","Mmp9"
"ENSRNOG00000003709","59113","Kmo"
"ENSRNOG00000025252","287924","Yars2"
"ENSRNOG00000021157","50654","Ctss"
"ENSRNOG00000017063","83517","Fcna"
"ENSRNOG00000019118","64846","Slc13a3"
"ENSRNOG00000010663","501047","Col6a5"
"ENSRNOG00000010478","299282","Serpina3l"
"ENSRNOG00000002396","288937","Serpinb8"
"ENSRNOG00000009761","25566","Tmod1"
"ENSRNOG00000037376","363289","Mterf4"
"ENSRNOG00000008027","313225","Cavin4"
"ENSRNOG00000037339","292844","Siglec10"
"ENSRNOG00000006483","362737","Heatr5a"
"ENSRNOG00000018827","65032","Htr7"
"ENSRNOG00000018384","679837","Adam12"
"ENSRNOG00000019495","114500","Gbx2"
"ENSRNOG00000025324","307348","Spire1"
"ENSRNOG00000027089","309918","Ell2"
"ENSRNOG00000020699","29185","Cd37"
"ENSRNOG00000002224","364147","Yipf7"
"ENSRNOG00000020097","24504","Inha"
"ENSRNOG00000000150","100360412","Dnajc1"
"ENSRNOG00000048726","113937","Clec2d"
"ENSRNOG00000005708","65205","Mmp16"
"ENSRNOG00000018207","83462","Dynlt1"
"ENSRNOG00000009155","295923","Ndufs3"
"ENSRNOG00000020129","116777","Cdh3"
"ENSRNOG00000016558","64364","Pllp"
"ENSRNOG00000015297","301232","C9h6orf132"
"ENSRNOG00000002110","316729","Fam114a1l1"
"ENSRNOG00000002110","498366","Fam114a1"
"ENSRNOG00000030111","24294","Cyp11b2"
"ENSRNOG00000017060","689560","Ryr2"
"ENSRNOG00000006956","362539","Adamtsl1"
"ENSRNOG00000048411","316129","Uhrf1"
"ENSRNOG00000053026","364648","Shcbp1"
"ENSRNOG00000058193","291582","Slc27a6"
"ENSRNOG00000020532","84020","Kcnq1"
"ENSRNOG00000021851","688605","Ccl1"
"ENSRNOG00000025691","301265","Pla2g7"
"ENSRNOG00000002820","24906","LOC24906"
"ENSRNOG00000000815","294422","Smpdl3a"
"ENSRNOG00000007574","29511","Padi2"
"ENSRNOG00000001158","85264","Abcg1"
"ENSRNOG00000029205","78972","Zfp354c"
"ENSRNOG00000020922","192245","Hspb6"
"ENSRNOG00000031849","361032","Armh4"
"ENSRNOG00000022839","309526","Ifit3"
